client_id,system_info_id,hostname,cpuUsage,ramUsage,timestamp
1,129,Ubuntu,24.3,3056 MB used / 7933 MB total,2023-10-11 12:57:47
2,130,Incedo,8.6,3355 MB used / 8104 MB total,2023-10-11 12:57:51
1,131,Ubuntu,16.1,3032 MB used / 7933 MB total,2023-10-11 12:57:52
2,132,Incedo,4,3356 MB used / 8104 MB total,2023-10-11 12:57:56
1,133,Ubuntu,7.3,3054 MB used / 7933 MB total,2023-10-11 12:57:57
2,134,Incedo,34.6,3356 MB used / 8104 MB total,2023-10-11 12:58:02
1,135,Ubuntu,4.4,3042 MB used / 7933 MB total,2023-10-11 12:58:03
2,136,Incedo,18.6,3356 MB used / 8104 MB total,2023-10-11 12:58:07
1,137,Ubuntu,1.5,3038 MB used / 7933 MB total,2023-10-11 12:58:08
2,138,Incedo,84.5,3364 MB used / 8104 MB total,2023-10-11 12:58:12
1,139,Ubuntu,5.6,3042 MB used / 7933 MB total,2023-10-11 12:58:13
2,140,Incedo,5.9,3376 MB used / 8104 MB total,2023-10-11 12:58:18
1,141,Ubuntu,3,3041 MB used / 7933 MB total,2023-10-11 12:58:18
2,142,Incedo,50,3381 MB used / 8104 MB total,2023-10-11 12:58:23
1,143,Ubuntu,8.2,3038 MB used / 7933 MB total,2023-10-11 12:58:24
2,144,Incedo,51,3363 MB used / 8104 MB total,2023-10-11 12:58:28
1,145,Ubuntu,15.6,3059 MB used / 7933 MB total,2023-10-11 12:58:29
2,146,Incedo,11.2,3363 MB used / 8104 MB total,2023-10-11 12:58:33
1,147,Ubuntu,3,3048 MB used / 7933 MB total,2023-10-11 12:58:34
2,148,Incedo,3.8,3363 MB used / 8104 MB total,2023-10-11 12:58:39
1,149,Ubuntu,5.4,3046 MB used / 7933 MB total,2023-10-11 12:58:39
2,150,Incedo,9.4,3364 MB used / 8104 MB total,2023-10-11 12:58:44
1,151,Ubuntu,7.5,3036 MB used / 7933 MB total,2023-10-11 12:58:44
2,152,Incedo,5.7,3368 MB used / 8104 MB total,2023-10-11 12:58:49
1,153,Ubuntu,15.3,3041 MB used / 7933 MB total,2023-10-11 12:58:50
2,154,Incedo,30.8,3355 MB used / 8104 MB total,2023-10-11 12:58:55
1,155,Ubuntu,28.8,3033 MB used / 7933 MB total,2023-10-11 12:58:55
1,156,Ubuntu,4.4,3024 MB used / 7933 MB total,2023-10-11 12:59:00
1,157,Ubuntu,5.6,3040 MB used / 7933 MB total,2023-10-11 12:59:05
1,158,Ubuntu,5.6,3041 MB used / 7933 MB total,2023-10-11 12:59:11
1,159,Ubuntu,25.7,3045 MB used / 7933 MB total,2023-10-11 12:59:16
1,160,Ubuntu,33.9,3050 MB used / 7933 MB total,2023-10-11 12:59:21
1,161,Ubuntu,4.6,3054 MB used / 7933 MB total,2023-10-11 12:59:26
1,162,Ubuntu,10.3,3046 MB used / 7933 MB total,2023-10-11 12:59:32
1,163,Ubuntu,18.7,3040 MB used / 7933 MB total,2023-10-11 12:59:37
1,164,Ubuntu,32.8,3052 MB used / 7933 MB total,2023-10-11 12:59:42
1,165,Ubuntu,7.7,3047 MB used / 7933 MB total,2023-10-11 12:59:47
1,166,Ubuntu,7.2,3046 MB used / 7933 MB total,2023-10-11 12:59:52
1,167,Ubuntu,4.2,3047 MB used / 7933 MB total,2023-10-11 12:59:58
1,168,Ubuntu,4.2,3039 MB used / 7933 MB total,2023-10-11 13:00:03
1,169,Ubuntu,45.3,3058 MB used / 7933 MB total,2023-10-11 13:00:08
3,170,Incedo,81.4,1870 MB used / 7837 MB total,2023-10-11 13:07:45
3,171,Incedo,55.3,1874 MB used / 7837 MB total,2023-10-11 13:07:50
3,172,Incedo,36.6,1887 MB used / 7837 MB total,2023-10-11 13:07:55
3,173,Incedo,44.7,1864 MB used / 7837 MB total,2023-10-11 13:08:01
3,174,Incedo,45.6,1871 MB used / 7837 MB total,2023-10-11 13:08:06
3,175,Incedo,55.5,1888 MB used / 7837 MB total,2023-10-11 13:08:11
3,176,Incedo,44.3,1870 MB used / 7837 MB total,2023-10-11 13:08:17
3,177,Incedo,43.4,1874 MB used / 7837 MB total,2023-10-11 13:08:22
3,178,Incedo,53.8,1894 MB used / 7837 MB total,2023-10-11 13:08:27
3,179,Incedo,54.7,1881 MB used / 7837 MB total,2023-10-11 13:08:33
3,180,Incedo,60.3,1877 MB used / 7837 MB total,2023-10-11 13:08:38
3,181,Incedo,52.2,1896 MB used / 7837 MB total,2023-10-11 13:08:44
3,182,Incedo,50.8,1890 MB used / 7837 MB total,2023-10-11 13:08:49
3,183,Incedo,50,1893 MB used / 7837 MB total,2023-10-11 13:08:54
3,184,Incedo,50,1886 MB used / 7837 MB total,2023-10-11 13:09:00
3,185,Incedo,56.9,1888 MB used / 7837 MB total,2023-10-11 13:09:05
3,186,Incedo,44.1,1888 MB used / 7837 MB total,2023-10-11 13:09:10
3,187,Incedo,45,1874 MB used / 7837 MB total,2023-10-11 13:09:16
3,188,Incedo,48.5,1893 MB used / 7837 MB total,2023-10-11 13:09:21
3,189,Incedo,55.1,1876 MB used / 7837 MB total,2023-10-11 13:09:27
3,190,Incedo,51.7,1872 MB used / 7837 MB total,2023-10-11 13:09:32
3,191,Incedo,52.7,1883 MB used / 7837 MB total,2023-10-11 13:09:37
3,192,Incedo,47.6,1896 MB used / 7837 MB total,2023-10-11 13:09:43
3,193,Incedo,62.1,1882 MB used / 7837 MB total,2023-10-11 13:09:48
3,194,Incedo,48.3,1858 MB used / 7837 MB total,2023-10-11 13:09:53
2,195,Incedo,15.1,3436 MB used / 8104 MB total,2023-10-11 13:18:49
2,196,Incedo,14.3,3437 MB used / 8104 MB total,2023-10-11 13:18:54
2,197,Incedo,22.8,3438 MB used / 8104 MB total,2023-10-11 13:19:00
2,198,Incedo,19.2,3439 MB used / 8104 MB total,2023-10-11 13:19:05
2,199,Incedo,40,3441 MB used / 8104 MB total,2023-10-11 13:19:10
2,200,Incedo,23.1,3442 MB used / 8104 MB total,2023-10-11 13:19:15
2,201,Incedo,26,3431 MB used / 8104 MB total,2023-10-11 13:19:21
2,202,Incedo,24.5,3431 MB used / 8104 MB total,2023-10-11 13:19:26
2,203,Incedo,30.9,3433 MB used / 8104 MB total,2023-10-11 13:19:31
2,204,Incedo,30.2,3433 MB used / 8104 MB total,2023-10-11 13:19:37
2,205,Incedo,17.7,3433 MB used / 8104 MB total,2023-10-11 13:19:42
2,206,Incedo,88.2,3432 MB used / 8104 MB total,2023-10-11 13:19:47
2,207,Incedo,72,3438 MB used / 8104 MB total,2023-10-11 13:19:52
2,208,Incedo,42,3440 MB used / 8104 MB total,2023-10-11 13:19:58
2,209,Incedo,11.6,3440 MB used / 8104 MB total,2023-10-11 13:20:03
2,210,Incedo,15.1,3432 MB used / 8104 MB total,2023-10-11 13:20:08
2,211,Incedo,36.3,3433 MB used / 8104 MB total,2023-10-11 13:20:14
2,212,Incedo,26.8,3434 MB used / 8104 MB total,2023-10-11 13:20:19
2,213,Incedo,65.5,3435 MB used / 8104 MB total,2023-10-11 13:20:24
2,214,Incedo,30.8,3436 MB used / 8104 MB total,2023-10-11 13:20:29
2,215,Incedo,13.4,3451 MB used / 8104 MB total,2023-10-11 13:20:35
2,216,Incedo,42.3,3440 MB used / 8104 MB total,2023-10-11 13:27:02
2,217,Incedo,78.9,3442 MB used / 8104 MB total,2023-10-11 13:27:07
2,218,Incedo,17.8,3450 MB used / 8104 MB total,2023-10-11 13:27:12
2,219,Incedo,22.3,3451 MB used / 8104 MB total,2023-10-11 13:27:17
2,220,Incedo,54.4,3453 MB used / 8104 MB total,2023-10-11 13:27:23
2,221,Incedo,20.6,3453 MB used / 8104 MB total,2023-10-11 13:27:28
2,222,Incedo,27,3454 MB used / 8104 MB total,2023-10-11 13:27:33
2,223,Incedo,29.3,3477 MB used / 8104 MB total,2023-10-11 13:27:39
2,224,Incedo,75,3479 MB used / 8104 MB total,2023-10-11 13:27:44
2,225,Incedo,30.5,3486 MB used / 8104 MB total,2023-10-11 13:27:49
2,226,Incedo,18,3489 MB used / 8104 MB total,2023-10-11 13:27:54
2,227,Incedo,24.5,3489 MB used / 8104 MB total,2023-10-11 13:28:00
2,228,Incedo,58.8,3461 MB used / 8104 MB total,2023-10-11 13:28:45
2,229,Incedo,61.5,3472 MB used / 8104 MB total,2023-10-11 13:28:50
2,230,Incedo,75.5,3491 MB used / 8104 MB total,2023-10-11 13:28:56
2,231,Incedo,68.1,3456 MB used / 8104 MB total,2023-10-11 13:29:01
2,232,Incedo,50.9,3489 MB used / 8104 MB total,2023-10-11 13:29:06
2,233,Incedo,42.1,3474 MB used / 8104 MB total,2023-10-11 13:29:12
2,234,Incedo,24.5,3477 MB used / 8104 MB total,2023-10-11 13:29:17
2,235,Incedo,12,3435 MB used / 8104 MB total,2023-10-11 13:33:07
2,236,Incedo,19.6,3436 MB used / 8104 MB total,2023-10-11 13:33:12
2,237,Incedo,34,3448 MB used / 8104 MB total,2023-10-11 13:33:17
2,238,Incedo,42.1,3449 MB used / 8104 MB total,2023-10-11 13:33:23
